	tree_id	species
220	T_114197	Fagus sylvatica
221	T_114201	Fagus sylvatica
222	T_114205	Fagus sylvatica
223	T_114207	Fagus sylvatica
224	T_114212	Fagus sylvatica
225	T_114234	Fagus sylvatica
226	T_114245	Fagus sylvatica
227	T_114247	Fagus sylvatica
228	T_114248	Fagus sylvatica
229	T_114251	Fagus sylvatica
230	T_114255	Fagus sylvatica
231	T_114275	Fagus sylvatica
232	T_114276	Fagus sylvatica
233	T_114280	Fagus sylvatica
234	T_114282	Fagus sylvatica
235	T_114297	Fagus sylvatica
236	T_114302	Fagus sylvatica
237	T_114309	Fagus sylvatica
238	T_114315	Fagus sylvatica
239	T_114316	Fagus sylvatica
240	T_114322	Fagus sylvatica
241	T_114323	Fagus sylvatica
242	T_114326	Fagus sylvatica
243	T_114335	Fagus sylvatica
244	T_114340	Fagus sylvatica
245	T_114341	Fagus sylvatica
246	T_114345	Fagus sylvatica
247	T_114352	Fagus sylvatica
248	T_114362	Fagus sylvatica
249	T_114366	Fagus sylvatica
250	T_114369	Fagus sylvatica
251	T_114388	Fagus sylvatica
252	T_114397	Fagus sylvatica
253	T_114400	Fagus sylvatica
254	T_114445	Fagus sylvatica
255	T_114446	Fagus sylvatica
256	T_114452	Fagus sylvatica
257	T_114454	Fagus sylvatica
258	T_114455	Fagus sylvatica
259	T_114479	Fagus sylvatica
260	T_114480	Fagus sylvatica
261	T_114485	Fagus sylvatica
262	T_114486	Fagus sylvatica
263	T_114490	Fagus sylvatica
264	T_114491	Fagus sylvatica
265	T_114512	Fagus sylvatica
266	T_114530	Fagus sylvatica
267	T_114533	Fagus sylvatica
268	T_114538	Fagus sylvatica
269	T_114557	Fagus sylvatica
270	T_114559	Fagus sylvatica
271	T_114570	Fagus sylvatica
272	T_114608	Fagus sylvatica
273	T_114612	Fagus sylvatica
274	T_114621	Fagus sylvatica
275	T_114625	Fagus sylvatica
276	T_114627	Fagus sylvatica
277	T_114628	Fagus sylvatica
278	T_114629	Fagus sylvatica
279	T_114633	Fagus sylvatica
280	T_114640	Fagus sylvatica
281	T_114646	Fagus sylvatica
282	T_114650	Fagus sylvatica
283	T_114651	Fagus sylvatica
284	T_114657	Fagus sylvatica
285	T_114680	Fagus sylvatica
286	T_114683	Fagus sylvatica
287	T_114692	Fagus sylvatica
288	T_114693	Fagus sylvatica
289	T_114698	Fagus sylvatica
290	T_114718	Fagus sylvatica
291	T_114720	Fagus sylvatica
292	T_114735	Fagus sylvatica
293	T_114749	Fagus sylvatica
294	T_114762	Fagus sylvatica
295	T_114766	Fagus sylvatica
296	T_114776	Fagus sylvatica
297	T_114783	Fagus sylvatica
298	T_114792	Fagus sylvatica
299	T_114797	Fagus sylvatica
300	T_114806	Fagus sylvatica
301	T_114826	Fagus sylvatica
302	T_114834	Fagus sylvatica
303	T_114839	Fagus sylvatica
304	T_114851	Fagus sylvatica
305	T_114857	Fagus sylvatica
306	T_114887	Fagus sylvatica
307	T_114894	Fagus sylvatica
308	T_114897	Fagus sylvatica
309	T_114900	Fagus sylvatica
310	T_114906	Fagus sylvatica
311	T_114907	Fagus sylvatica
312	T_114909	Fagus sylvatica
313	T_114927	Fagus sylvatica
314	T_114928	Fagus sylvatica
315	T_114940	Fagus sylvatica
316	T_114951	Fagus sylvatica
317	T_114958	Fagus sylvatica
318	T_114960	Fagus sylvatica
319	T_114983	Fagus sylvatica
320	T_114986	Fagus sylvatica
321	T_114990	Fagus sylvatica
322	T_115007	Fagus sylvatica
323	T_115013	Fagus sylvatica
324	T_115014	Fagus sylvatica
325	T_115036	Fagus sylvatica
326	T_115037	Fagus sylvatica
327	T_115046	Fagus sylvatica
328	T_115050	Fagus sylvatica
329	T_115064	Fagus sylvatica
330	T_115072	Fagus sylvatica
331	T_115074	Fagus sylvatica
332	T_115077	Fagus sylvatica
333	T_115078	Fagus sylvatica
334	T_115099	Fagus sylvatica
335	T_115101	Fagus sylvatica
336	T_115109	Fagus sylvatica
337	T_115113	Fagus sylvatica
338	T_115114	Fagus sylvatica
339	T_115119	Fagus sylvatica
340	T_115120	Fagus sylvatica
341	T_115135	Fagus sylvatica
342	T_115140	Fagus sylvatica
343	T_115154	Fagus sylvatica
344	T_115163	Fagus sylvatica
345	T_115167	Fagus sylvatica
346	T_115171	Fagus sylvatica
347	T_115174	Fagus sylvatica
348	T_115186	Fagus sylvatica
349	T_115202	Fagus sylvatica
350	T_115205	Fagus sylvatica
351	T_115209	Fagus sylvatica
352	T_115217	Fagus sylvatica
353	T_115219	Fagus sylvatica
354	T_115222	Fagus sylvatica
355	T_115239	Fagus sylvatica
356	T_115240	Fagus sylvatica
357	T_115249	Fagus sylvatica
358	T_115255	Fagus sylvatica
359	T_115256	Fagus sylvatica
360	T_115259	Fagus sylvatica
361	T_115272	Fagus sylvatica
362	T_115276	Fagus sylvatica
363	T_115281	Fagus sylvatica
364	T_115282	Fagus sylvatica
365	T_115300	Fagus sylvatica
366	T_115305	Fagus sylvatica
367	T_115315	Fagus sylvatica
368	T_115318	Fagus sylvatica
369	T_115323	Fagus sylvatica
370	T_115327	Fagus sylvatica
371	T_115333	Fagus sylvatica
372	T_115340	Fagus sylvatica
373	T_115341	Fagus sylvatica
374	T_115342	Fagus sylvatica
375	T_115346	Fagus sylvatica
376	T_115359	Fagus sylvatica
377	T_115364	Fagus sylvatica
378	T_115366	Fagus sylvatica
379	T_115367	Fagus sylvatica
380	T_115368	Fagus sylvatica
381	T_115375	Fagus sylvatica
382	T_115377	Fagus sylvatica
383	T_115386	Fagus sylvatica
384	T_115388	Fagus sylvatica
385	T_115393	Fagus sylvatica
386	T_115396	Fagus sylvatica
387	T_115408	Fagus sylvatica
388	T_115423	Fagus sylvatica
389	T_115425	Fagus sylvatica
390	T_115433	Fagus sylvatica
391	T_115445	Fagus sylvatica
392	T_115453	Fagus sylvatica
393	T_115462	Fagus sylvatica
394	T_115466	Fagus sylvatica
395	T_115468	Fagus sylvatica
396	T_115482	Fagus sylvatica
397	T_115485	Fagus sylvatica
398	T_115490	Fagus sylvatica
399	T_115493	Fagus sylvatica
400	T_115500	Fagus sylvatica
401	T_115501	Fagus sylvatica
402	T_115504	Fagus sylvatica
403	T_115505	Fagus sylvatica
404	T_115508	Fagus sylvatica
405	T_115535	Fagus sylvatica
406	T_115544	Fagus sylvatica
407	T_115554	Fagus sylvatica
408	T_115565	Fagus sylvatica
409	T_115581	Fagus sylvatica
410	T_115585	Fagus sylvatica
411	T_115587	Fagus sylvatica
412	T_115622	Fagus sylvatica
413	T_115630	Fagus sylvatica
414	T_115633	Fagus sylvatica
415	T_115646	Fagus sylvatica
416	T_115712	Fagus sylvatica
417	T_115716	Fagus sylvatica
418	T_115719	Fagus sylvatica
419	T_115720	Fagus sylvatica
420	T_115733	Fagus sylvatica
421	T_115742	Fagus sylvatica
422	T_115744	Fagus sylvatica
423	T_115760	Fagus sylvatica
424	T_115766	Fagus sylvatica
425	T_115771	Fagus sylvatica
426	T_115779	Fagus sylvatica
427	T_115783	Fagus sylvatica
428	T_115786	Fagus sylvatica
429	T_115803	Fagus sylvatica
430	T_115806	Fagus sylvatica
431	T_115808	Fagus sylvatica
432	T_115830	Fagus sylvatica
433	T_115836	Fagus sylvatica
434	T_115848	Fagus sylvatica
435	T_115856	Fagus sylvatica
436	T_115862	Fagus sylvatica
437	T_115869	Fagus sylvatica
438	T_115880	Fagus sylvatica
439	T_115918	Fagus sylvatica
440	T_115923	Fagus sylvatica
441	T_115937	Fagus sylvatica
442	T_115943	Fagus sylvatica
443	T_115949	Fagus sylvatica
444	T_115953	Fagus sylvatica
445	T_115954	Fagus sylvatica
446	T_115957	Fagus sylvatica
447	T_115959	Fagus sylvatica
448	T_115978	Fagus sylvatica
449	T_115989	Fagus sylvatica
450	T_116000	Fagus sylvatica
451	T_116005	Fagus sylvatica
452	T_116036	Fagus sylvatica
453	T_116041	Fagus sylvatica
454	T_116043	Fagus sylvatica
455	T_116048	Fagus sylvatica
456	T_116075	Fagus sylvatica
457	T_116076	Fagus sylvatica
458	T_116087	Fagus sylvatica
459	T_116088	Fagus sylvatica
460	T_116097	Fagus sylvatica
461	T_116098	Fagus sylvatica
462	T_116099	Fagus sylvatica
463	T_116103	Fagus sylvatica
464	T_116104	Fagus sylvatica
465	T_116108	Fagus sylvatica
466	T_116115	Fagus sylvatica
467	T_116119	Fagus sylvatica
468	T_116122	Fagus sylvatica
469	T_116128	Fagus sylvatica
470	T_116129	Fagus sylvatica
471	T_116134	Fagus sylvatica
472	T_116155	Fagus sylvatica
473	T_116165	Fagus sylvatica
474	T_116177	Fagus sylvatica
475	T_116183	Fagus sylvatica
476	T_116184	Fagus sylvatica
477	T_116191	Fagus sylvatica
478	T_116211	Fagus sylvatica
479	T_116230	Fagus sylvatica
480	T_116238	Fagus sylvatica
481	T_116244	Fagus sylvatica
482	T_116252	Fagus sylvatica
483	T_116256	Fagus sylvatica
484	T_116267	Fagus sylvatica
485	T_116270	Fagus sylvatica
486	T_116272	Fagus sylvatica
487	T_116279	Fagus sylvatica
488	T_116285	Fagus sylvatica
489	T_116299	Fagus sylvatica
490	T_116304	Fagus sylvatica
491	T_116305	Fagus sylvatica
492	T_116314	Fagus sylvatica
493	T_116315	Fagus sylvatica
494	T_116322	Fagus sylvatica
495	T_116329	Fagus sylvatica
496	T_116335	Fagus sylvatica
497	T_116377	Fagus sylvatica
498	T_116386	Fagus sylvatica
499	T_116390	Fagus sylvatica
500	T_116404	Fagus sylvatica
501	T_116421	Fagus sylvatica
502	T_116423	Fagus sylvatica
503	T_116424	Fagus sylvatica
504	T_116425	Fagus sylvatica
505	T_116433	Fagus sylvatica
506	T_116437	Fagus sylvatica
507	T_116451	Fagus sylvatica
508	T_116453	Fagus sylvatica
509	T_116456	Fagus sylvatica
510	T_116475	Fagus sylvatica
511	T_116481	Fagus sylvatica
512	T_116504	Fagus sylvatica
513	T_116505	Fagus sylvatica
514	T_116523	Fagus sylvatica
515	T_116525	Fagus sylvatica
516	T_116535	Fagus sylvatica
517	T_116567	Fagus sylvatica
518	T_116569	Fagus sylvatica
519	T_116580	Fagus sylvatica
520	T_116590	Fagus sylvatica
521	T_116591	Fagus sylvatica
522	T_116605	Fagus sylvatica
523	T_116612	Fagus sylvatica
524	T_116619	Fagus sylvatica
525	T_116633	Fagus sylvatica
526	T_116644	Fagus sylvatica
527	T_116658	Fagus sylvatica
528	T_116667	Fagus sylvatica
529	T_116677	Fagus sylvatica
530	T_116696	Fagus sylvatica
531	T_116699	Fagus sylvatica
532	T_116700	Fagus sylvatica
533	T_116701	Fagus sylvatica
534	T_116710	Fagus sylvatica
535	T_116720	Fagus sylvatica
536	T_116729	Fagus sylvatica
537	T_116730	Fagus sylvatica
538	T_116732	Fagus sylvatica
539	T_116738	Fagus sylvatica
540	T_116741	Fagus sylvatica
541	T_116743	Fagus sylvatica
542	T_116747	Fagus sylvatica
543	T_116783	Fagus sylvatica
544	T_116788	Fagus sylvatica
545	T_116801	Fagus sylvatica
546	T_116802	Fagus sylvatica
547	T_116819	Fagus sylvatica
548	T_116863	Fagus sylvatica
549	T_116882	Fagus sylvatica
550	T_116883	Fagus sylvatica
551	T_116884	Fagus sylvatica
552	T_116890	Fagus sylvatica
553	T_116894	Fagus sylvatica
554	T_116897	Fagus sylvatica
555	T_116903	Fagus sylvatica
556	T_116949	Fagus sylvatica
557	T_116955	Fagus sylvatica
558	T_116956	Fagus sylvatica
559	T_116958	Fagus sylvatica
560	T_116961	Fagus sylvatica
561	T_116967	Fagus sylvatica
562	T_117027	Fagus sylvatica
563	T_117028	Fagus sylvatica
564	T_117030	Fagus sylvatica
565	T_117041	Fagus sylvatica
566	T_117045	Fagus sylvatica
567	T_117055	Fagus sylvatica
568	T_117057	Fagus sylvatica
569	T_117061	Fagus sylvatica
570	T_117078	Fagus sylvatica
571	T_117093	Fagus sylvatica
572	T_117103	Fagus sylvatica
573	T_117120	Fagus sylvatica
574	T_117133	Fagus sylvatica
575	T_117139	Fagus sylvatica
576	T_117157	Fagus sylvatica
577	T_117163	Fagus sylvatica
578	T_117169	Fagus sylvatica
579	T_117174	Fagus sylvatica
580	T_117180	Fagus sylvatica
581	T_117191	Fagus sylvatica
582	T_117201	Fagus sylvatica
583	T_117206	Fagus sylvatica
584	T_117212	Fagus sylvatica
585	T_117249	Fagus sylvatica
586	T_117251	Fagus sylvatica
587	T_117272	Fagus sylvatica
588	T_117279	Fagus sylvatica
589	T_117284	Fagus sylvatica
590	T_117310	Fagus sylvatica
591	T_117318	Fagus sylvatica
592	T_117347	Fagus sylvatica
593	T_117355	Fagus sylvatica
594	T_117376	Fagus sylvatica
595	T_117404	Fagus sylvatica
596	T_117413	Fagus sylvatica
597	T_117414	Fagus sylvatica
598	T_117423	Fagus sylvatica
599	T_117425	Fagus sylvatica
600	T_117431	Fagus sylvatica
601	T_117433	Fagus sylvatica
602	T_117440	Fagus sylvatica
603	T_117446	Fagus sylvatica
604	T_117447	Fagus sylvatica
605	T_117449	Fagus sylvatica
606	T_117455	Fagus sylvatica
607	T_117463	Fagus sylvatica
608	T_117482	Fagus sylvatica
609	T_117483	Fagus sylvatica
610	T_117487	Fagus sylvatica
611	T_117502	Fagus sylvatica
612	T_117512	Fagus sylvatica
613	T_117520	Fagus sylvatica
614	T_117530	Fagus sylvatica
615	T_117535	Fagus sylvatica
616	T_117556	Fagus sylvatica
617	T_117560	Fagus sylvatica
618	T_117564	Fagus sylvatica
619	T_117590	Fagus sylvatica
620	T_117595	Fagus sylvatica
621	T_117599	Fagus sylvatica
622	T_117643	Fagus sylvatica
623	T_117647	Fagus sylvatica
624	T_117654	Fagus sylvatica
625	T_117655	Fagus sylvatica
626	T_117696	Fagus sylvatica
627	T_117698	Fagus sylvatica
628	T_117723	Fagus sylvatica
629	T_117728	Fagus sylvatica
630	T_117729	Fagus sylvatica
631	T_117730	Fagus sylvatica
632	T_117739	Fagus sylvatica
633	T_117751	Fagus sylvatica
634	T_117764	Fagus sylvatica
635	T_117770	Fagus sylvatica
636	T_117771	Fagus sylvatica
637	T_117777	Fagus sylvatica
638	T_117783	Fagus sylvatica
639	T_117800	Fagus sylvatica
640	T_117802	Fagus sylvatica
641	T_117830	Fagus sylvatica
642	T_117861	Fagus sylvatica
643	T_117867	Fagus sylvatica
644	T_117874	Fagus sylvatica
645	T_117885	Fagus sylvatica
646	T_117887	Fagus sylvatica
647	T_117905	Fagus sylvatica
648	T_117908	Fagus sylvatica
649	T_117910	Fagus sylvatica
650	T_117922	Fagus sylvatica
651	T_117933	Fagus sylvatica
652	T_117960	Fagus sylvatica
653	T_118009	Fagus sylvatica
654	T_118012	Fagus sylvatica
655	T_118018	Fagus sylvatica
656	T_118019	Fagus sylvatica
657	T_118020	Fagus sylvatica
658	T_118040	Fagus sylvatica
659	T_118042	Fagus sylvatica
660	T_118043	Fagus sylvatica
661	T_118050	Fagus sylvatica
662	T_118052	Fagus sylvatica
663	T_118054	Fagus sylvatica
664	T_118062	Fagus sylvatica
665	T_118085	Fagus sylvatica
666	T_118110	Fagus sylvatica
667	T_118113	Fagus sylvatica
668	T_118119	Fagus sylvatica
669	T_118120	Fagus sylvatica
670	T_118130	Fagus sylvatica
671	T_118144	Fagus sylvatica
672	T_118157	Fagus sylvatica
673	T_118161	Fagus sylvatica
674	T_118174	Fagus sylvatica
675	T_118177	Fagus sylvatica
676	T_118188	Fagus sylvatica
677	T_118196	Fagus sylvatica
678	T_118198	Fagus sylvatica
679	T_118199	Fagus sylvatica
680	T_118214	Fagus sylvatica
681	T_118233	Fagus sylvatica
682	T_118238	Fagus sylvatica
683	T_118239	Fagus sylvatica
684	T_118245	Fagus sylvatica
685	T_118254	Fagus sylvatica
686	T_118256	Fagus sylvatica
687	T_118259	Fagus sylvatica
688	T_118264	Fagus sylvatica
689	T_118270	Fagus sylvatica
690	T_118278	Fagus sylvatica
691	T_118279	Fagus sylvatica
692	T_118290	Fagus sylvatica
693	T_118291	Fagus sylvatica
694	T_118298	Fagus sylvatica
695	T_118300	Fagus sylvatica
696	T_118301	Fagus sylvatica
697	T_118306	Fagus sylvatica
698	T_118309	Fagus sylvatica
699	T_118311	Fagus sylvatica
700	T_118321	Fagus sylvatica
701	T_118323	Fagus sylvatica
702	T_118337	Fagus sylvatica
703	T_118345	Fagus sylvatica
704	T_118354	Fagus sylvatica
705	T_118356	Fagus sylvatica
706	T_118364	Fagus sylvatica
707	T_118370	Fagus sylvatica
708	T_118372	Fagus sylvatica
709	T_118380	Fagus sylvatica
710	T_118392	Fagus sylvatica
711	T_118394	Fagus sylvatica
712	T_118396	Fagus sylvatica
713	T_118399	Fagus sylvatica
714	T_118404	Fagus sylvatica
715	T_118407	Fagus sylvatica
716	T_118411	Fagus sylvatica
717	T_118415	Fagus sylvatica
718	T_118420	Fagus sylvatica
719	T_118449	Fagus sylvatica
720	T_118453	Fagus sylvatica
721	T_118459	Fagus sylvatica
722	T_118467	Fagus sylvatica
723	T_118476	Fagus sylvatica
724	T_118497	Fagus sylvatica
725	T_118504	Fagus sylvatica
726	T_118508	Fagus sylvatica
727	T_118511	Fagus sylvatica
728	T_118512	Fagus sylvatica
729	T_118514	Fagus sylvatica
730	T_118520	Fagus sylvatica
731	T_118522	Fagus sylvatica
732	T_118538	Fagus sylvatica
733	T_118559	Fagus sylvatica
734	T_118560	Fagus sylvatica
735	T_118562	Fagus sylvatica
736	T_118565	Fagus sylvatica
737	T_118570	Fagus sylvatica
738	T_118578	Fagus sylvatica
739	T_118580	Fagus sylvatica
740	T_118582	Fagus sylvatica
741	T_118621	Fagus sylvatica
742	T_118628	Fagus sylvatica
743	T_118632	Fagus sylvatica
744	T_118648	Fagus sylvatica
745	T_118660	Fagus sylvatica
746	T_118668	Fagus sylvatica
747	T_118671	Fagus sylvatica
748	T_118676	Fagus sylvatica
749	T_118678	Fagus sylvatica
750	T_118690	Fagus sylvatica
751	T_118711	Fagus sylvatica
752	T_118730	Fagus sylvatica
753	T_118745	Fagus sylvatica
754	T_118747	Fagus sylvatica
755	T_118754	Fagus sylvatica
756	T_118766	Fagus sylvatica
757	T_118778	Fagus sylvatica
758	T_118801	Fagus sylvatica
759	T_118803	Fagus sylvatica
760	T_118804	Fagus sylvatica
761	T_118809	Fagus sylvatica
762	T_118817	Fagus sylvatica
763	T_118833	Fagus sylvatica
764	T_118842	Fagus sylvatica
765	T_118844	Fagus sylvatica
766	T_118849	Fagus sylvatica
767	T_118853	Fagus sylvatica
768	T_118860	Fagus sylvatica
769	T_118866	Fagus sylvatica
770	T_118870	Fagus sylvatica
771	T_118876	Fagus sylvatica
772	T_118882	Fagus sylvatica
773	T_118886	Fagus sylvatica
774	T_118887	Fagus sylvatica
775	T_118888	Fagus sylvatica
776	T_118891	Fagus sylvatica
777	T_118894	Fagus sylvatica
778	T_118904	Fagus sylvatica
779	T_118918	Fagus sylvatica
780	T_118919	Fagus sylvatica
781	T_118925	Fagus sylvatica
782	T_118926	Fagus sylvatica
783	T_118928	Fagus sylvatica
784	T_118931	Fagus sylvatica
785	T_118936	Fagus sylvatica
786	T_118949	Fagus sylvatica
787	T_118958	Fagus sylvatica
788	T_118962	Fagus sylvatica
789	T_118972	Fagus sylvatica
790	T_118982	Fagus sylvatica
791	T_119000	Fagus sylvatica
792	T_119001	Fagus sylvatica
793	T_119028	Fagus sylvatica
794	T_119037	Fagus sylvatica
795	T_119040	Fagus sylvatica
796	T_119045	Fagus sylvatica
797	T_119046	Fagus sylvatica
798	T_119068	Fagus sylvatica
799	T_119073	Fagus sylvatica
800	T_119077	Fagus sylvatica
801	T_119086	Fagus sylvatica
802	T_119088	Fagus sylvatica
803	T_119093	Fagus sylvatica
804	T_119096	Fagus sylvatica
805	T_119097	Fagus sylvatica
806	T_119114	Fagus sylvatica
807	T_119121	Fagus sylvatica
808	T_119139	Fagus sylvatica
809	T_119159	Fagus sylvatica
810	T_119161	Fagus sylvatica
811	T_119172	Fagus sylvatica
812	T_119183	Fagus sylvatica
813	T_119193	Fagus sylvatica
814	T_119203	Fagus sylvatica
815	T_119206	Fagus sylvatica
816	T_119246	Fagus sylvatica
817	T_119271	Fagus sylvatica
818	T_119275	Fagus sylvatica
819	T_119288	Fagus sylvatica
820	T_119305	Fagus sylvatica
821	T_119307	Fagus sylvatica
822	T_119318	Fagus sylvatica
