Ort	Partei	Stadt	Durchschnittsalter	Erststimmen	ErststimmenAnteil	Zweitstimmen	ZweitstimmenAnteil
Kürnach	Basisdemokratische Partei Deutschland	FALSE	42.8	70	0.021154427319431852	28	0.008436275986742995
Leinach	Basisdemokratische Partei Deutschland	FALSE	44.4	60	0.02835538752362949	19	0.008899297423887589
Margetshöchheim	Basisdemokratische Partei Deutschland	FALSE	48	65	0.02894033837934105	33	0.014634146341463415
Markt Bütthard	Basisdemokratische Partei Deutschland	FALSE	45.7	22	0.024971623155505107	7	0.007838745800671893
Markt Eisenheim	Basisdemokratische Partei Deutschland	FALSE	44.3	26	0.028729281767955802	11	0.012035010940919038
Markt Frickenhausen a.Main	Basisdemokratische Partei Deutschland	FALSE	46.5	16	0.01982651796778191	7	0.008684863523573201
Markt Gelchsheim	Basisdemokratische Partei Deutschland	FALSE	44.5	27	0.0472027972027972	10	0.017391304347826087
Markt Giebelstadt	Basisdemokratische Partei Deutschland	FALSE	43.1	114	0.03627107858733694	44	0.013823437009110902
Markt Helmstadt	Basisdemokratische Partei Deutschland	FALSE	44	70	0.037817396002161	46	0.024691358024691357
Markt Höchberg	Basisdemokratische Partei Deutschland	FALSE	46	144	0.02282453637660485	75	0.011818468326504884
Markt Neubrunn	Basisdemokratische Partei Deutschland	FALSE	44.9	53	0.036551724137931035	20	0.013679890560875513
Markt Randersacker	Basisdemokratische Partei Deutschland	FALSE	46.3	66	0.0280970625798212	38	0.016115351993214587
Markt Reichenberg	Basisdemokratische Partei Deutschland	FALSE	45.1	110	0.038746037337090526	49	0.01717490361023484
Markt Remlingen	Basisdemokratische Partei Deutschland	FALSE	46.2	38	0.03781094527363184	22	0.021632251720747297
Markt Rimpar	Basisdemokratische Partei Deutschland	FALSE	44.9	144	0.028811524609843937	70	0.013886133703630232
Markt Sommerhausen	Basisdemokratische Partei Deutschland	FALSE	45	30	0.021754894851341553	19	0.013718411552346571
Markt Winterhausen	Basisdemokratische Partei Deutschland	FALSE	47.3	26	0.026748971193415638	13	0.013265306122448979
Markt Zell a.Main	Basisdemokratische Partei Deutschland	FALSE	44.5	69	0.02606724593879864	40	0.015026296018031555
Oberpleichfeld	Basisdemokratische Partei Deutschland	FALSE	42.5	22	0.02925531914893617	5	0.006587615283267457
Prosselsheim	Basisdemokratische Partei Deutschland	FALSE	43.1	24	0.029850746268656716	14	0.01734820322180917
Riedenheim	Basisdemokratische Partei Deutschland	FALSE	46.6	18	0.03308823529411765	7	0.012589928057553957
Rottendorf	Basisdemokratische Partei Deutschland	FALSE	44.4	85	0.023849607182940515	42	0.011715481171548118
Sonderhofen	Basisdemokratische Partei Deutschland	FALSE	43.6	17	0.028052805280528052	2	0.0032626427406199023
Stadt Aub	Basisdemokratische Partei Deutschland	FALSE	46.3	28	0.029288702928870293	8	0.008342022940563087
Stadt Eibelstadt	Basisdemokratische Partei Deutschland	FALSE	46.6	57	0.026158788435061954	30	0.013654984069185253
Stadt Ochsenfurt	Basisdemokratische Partei Deutschland	FALSE	45.3	181	0.02684265163873647	70	0.010312315851502652
Stadt Röttingen	Basisdemokratische Partei Deutschland	FALSE	47	36	0.03317972350230415	16	0.014625228519195612
Tauberrettersheim	Basisdemokratische Partei Deutschland	FALSE	44.1	11	0.019064124783362217	5	0.008561643835616438
Theilheim	Basisdemokratische Partei Deutschland	FALSE	43.5	38	0.02341343191620456	13	0.007975460122699387
Thüngersheim	Basisdemokratische Partei Deutschland	FALSE	45.9	47	0.024789029535864978	32	0.01685097419694576
Uettingen	Basisdemokratische Partei Deutschland	FALSE	43.5	37	0.031171019376579612	22	0.018318068276436304
Unterpleichfeld	Basisdemokratische Partei Deutschland	FALSE	42.6	41	0.020738492665655032	20	0.010040160642570281
Veitshöchheim	Basisdemokratische Partei Deutschland	FALSE	46.5	180	0.02982107355864811	71	0.011693017127799736
Waldbrunn	Basisdemokratische Partei Deutschland	FALSE	43.4	64	0.03342036553524804	19	0.009859885832900882
Waldbüttelbrunn	Basisdemokratische Partei Deutschland	FALSE	44.6	90	0.02773497688751926	23	0.007048728164266013
Altertheim	Bayernpartei	FALSE	44	0	0	5	0.0036900369003690036
Bergtheim	Bayernpartei	FALSE	42.4	0	0	6	0.0023734177215189874
Bieberehren	Bayernpartei	FALSE	45.1	0	0	1	0.0016474464579901153
Eisingen	Bayernpartei	FALSE	44.3	0	0	5	0.002334267040149393
Erlabrunn	Bayernpartei	FALSE	43.5	0	0	1	7.94912559618442e-4
Estenfeld	Bayernpartei	FALSE	44.5	0	0	2	5.474952094169176e-4
Gaukönigshofen	Bayernpartei	FALSE	44.2	0	0	7	0.004016064257028112
Gerbrunn	Bayernpartei	FALSE	42.8	0	0	4	9.713453132588635e-4
Geroldshausen	Bayernpartei	FALSE	43.1	0	0	0	0
Greußenheim	Bayernpartei	FALSE	45	0	0	6	0.005221932114882507
Güntersleben	Bayernpartei	FALSE	43.1	0	0	6	0.0020134228187919465
Hausen b.Würzburg	Bayernpartei	FALSE	43.1	0	0	7	0.004107981220657277
Hettstadt	Bayernpartei	FALSE	45	0	0	6	0.0023971234518577705
Holzkirchen	Bayernpartei	FALSE	47.1	0	0	1	0.0014492753623188406
Kirchheim	Bayernpartei	FALSE	45.3	0	0	7	0.004676018704074816
Kist	Bayernpartei	FALSE	45.7	0	0	5	0.002935995302407516
Kleinrinderfeld	Bayernpartei	FALSE	44.9	0	0	1	7.49063670411985e-4
Kürnach	Bayernpartei	FALSE	42.8	0	0	3	9.038867128653209e-4
Leinach	Bayernpartei	FALSE	44.4	0	0	5	0.00234192037470726
Margetshöchheim	Bayernpartei	FALSE	48	0	0	2	8.869179600886918e-4
Markt Bütthard	Bayernpartei	FALSE	45.7	0	0	1	0.0011198208286674132
Markt Eisenheim	Bayernpartei	FALSE	44.3	0	0	0	0
Markt Frickenhausen a.Main	Bayernpartei	FALSE	46.5	0	0	0	0
Markt Gelchsheim	Bayernpartei	FALSE	44.5	0	0	2	0.0034782608695652175
Markt Giebelstadt	Bayernpartei	FALSE	43.1	0	0	6	0.001885014137606032
Markt Helmstadt	Bayernpartei	FALSE	44	0	0	4	0.0021470746108427268
Markt Höchberg	Bayernpartei	FALSE	46	0	0	8	0.0012606366214938543
Markt Neubrunn	Bayernpartei	FALSE	44.9	0	0	2	0.0013679890560875513
Markt Randersacker	Bayernpartei	FALSE	46.3	0	0	3	0.001272264631043257
Markt Reichenberg	Bayernpartei	FALSE	45.1	0	0	10	0.0035050823694356818
Markt Remlingen	Bayernpartei	FALSE	46.2	0	0	4	0.003933136676499509
Markt Rimpar	Bayernpartei	FALSE	44.9	0	0	10	0.0019837333862328904
Markt Sommerhausen	Bayernpartei	FALSE	45	0	0	0	0
Markt Winterhausen	Bayernpartei	FALSE	47.3	0	0	1	0.0010204081632653062
Markt Zell a.Main	Bayernpartei	FALSE	44.5	0	0	2	7.513148009015778e-4
Oberpleichfeld	Bayernpartei	FALSE	42.5	0	0	2	0.002635046113306983
Prosselsheim	Bayernpartei	FALSE	43.1	0	0	2	0.0024783147459727386
Riedenheim	Bayernpartei	FALSE	46.6	0	0	1	0.0017985611510791368
Rottendorf	Bayernpartei	FALSE	44.4	0	0	9	0.002510460251046025
Sonderhofen	Bayernpartei	FALSE	43.6	0	0	3	0.004893964110929853
Stadt Aub	Bayernpartei	FALSE	46.3	0	0	5	0.005213764337851929
Stadt Eibelstadt	Bayernpartei	FALSE	46.6	0	0	3	0.0013654984069185253
Stadt Ochsenfurt	Bayernpartei	FALSE	45.3	0	0	12	0.0017678255745433118
Stadt Röttingen	Bayernpartei	FALSE	47	0	0	1	9.140767824497258e-4
Tauberrettersheim	Bayernpartei	FALSE	44.1	0	0	1	0.0017123287671232876
Theilheim	Bayernpartei	FALSE	43.5	0	0	1	6.134969325153375e-4
Thüngersheim	Bayernpartei	FALSE	45.9	0	0	5	0.0026329647182727752
Uettingen	Bayernpartei	FALSE	43.5	0	0	2	0.0016652789342214821
Unterpleichfeld	Bayernpartei	FALSE	42.6	0	0	3	0.0015060240963855422
Veitshöchheim	Bayernpartei	FALSE	46.5	0	0	15	0.0024703557312252965
Waldbrunn	Bayernpartei	FALSE	43.4	0	0	14	0.007265179034769071
Waldbüttelbrunn	Bayernpartei	FALSE	44.6	0	0	4	0.001225865767698437
Altertheim	BÜNDNIS 90/DIE GRÜNEN	FALSE	44	168	0.12622088655146507	182	0.13431734317343175
Bergtheim	BÜNDNIS 90/DIE GRÜNEN	FALSE	42.4	377	0.150499001996008	348	0.13765822784810128
Bieberehren	BÜNDNIS 90/DIE GRÜNEN	FALSE	45.1	61	0.10132890365448505	60	0.09884678747940692
Eisingen	BÜNDNIS 90/DIE GRÜNEN	FALSE	44.3	322	0.15167216203485634	330	0.15406162464985995
Erlabrunn	BÜNDNIS 90/DIE GRÜNEN	FALSE	43.5	241	0.19218500797448165	240	0.1907790143084261
Estenfeld	BÜNDNIS 90/DIE GRÜNEN	FALSE	44.5	546	0.14979423868312758	564	0.15439364905557076
Gaukönigshofen	BÜNDNIS 90/DIE GRÜNEN	FALSE	44.2	146	0.0852803738317757	185	0.10613884107860011
Gerbrunn	BÜNDNIS 90/DIE GRÜNEN	FALSE	42.8	969	0.23639912173700903	932	0.2263234579893152
Geroldshausen	BÜNDNIS 90/DIE GRÜNEN	FALSE	43.1	106	0.12072892938496584	130	0.14623172103487064
Greußenheim	BÜNDNIS 90/DIE GRÜNEN	FALSE	45	142	0.12380122057541412	116	0.10095735422106179
Güntersleben	BÜNDNIS 90/DIE GRÜNEN	FALSE	43.1	369	0.125	377	0.12651006711409396
Hausen b.Würzburg	BÜNDNIS 90/DIE GRÜNEN	FALSE	43.1	173	0.10212514757969303	202	0.11854460093896714
Hettstadt	BÜNDNIS 90/DIE GRÜNEN	FALSE	45	395	0.15825320512820512	357	0.14262884538553736
Holzkirchen	BÜNDNIS 90/DIE GRÜNEN	FALSE	47.1	72	0.10434782608695652	68	0.09855072463768116
Kirchheim	BÜNDNIS 90/DIE GRÜNEN	FALSE	45.3	178	0.11954331766286098	186	0.12424849699398798
Kist	BÜNDNIS 90/DIE GRÜNEN	FALSE	45.7	156	0.09247184350918791	161	0.09453904873752202
Kleinrinderfeld	BÜNDNIS 90/DIE GRÜNEN	FALSE	44.9	136	0.1027190332326284	129	0.09662921348314607
Kürnach	BÜNDNIS 90/DIE GRÜNEN	FALSE	42.8	527	0.15926261710486553	553	0.16661645073817416
Leinach	BÜNDNIS 90/DIE GRÜNEN	FALSE	44.4	251	0.11862003780718336	263	0.12318501170960187
Margetshöchheim	BÜNDNIS 90/DIE GRÜNEN	FALSE	48	458	0.20391807658058772	441	0.19556541019955653
Markt Bütthard	BÜNDNIS 90/DIE GRÜNEN	FALSE	45.7	82	0.09307604994324631	93	0.10414333706606943
Markt Eisenheim	BÜNDNIS 90/DIE GRÜNEN	FALSE	44.3	127	0.14033149171270717	128	0.1400437636761488
Markt Frickenhausen a.Main	BÜNDNIS 90/DIE GRÜNEN	FALSE	46.5	81	0.10037174721189591	81	0.10049627791563276
Markt Gelchsheim	BÜNDNIS 90/DIE GRÜNEN	FALSE	44.5	37	0.06468531468531469	42	0.07304347826086957
Markt Giebelstadt	BÜNDNIS 90/DIE GRÜNEN	FALSE	43.1	288	0.09163219853643016	327	0.10273327049952875
Markt Helmstadt	BÜNDNIS 90/DIE GRÜNEN	FALSE	44	200	0.10804970286331712	192	0.10305958132045089
Markt Höchberg	BÜNDNIS 90/DIE GRÜNEN	FALSE	46	1396	0.22127119987319702	1371	0.2160416010085093
Markt Neubrunn	BÜNDNIS 90/DIE GRÜNEN	FALSE	44.9	167	0.11517241379310345	170	0.11627906976744186
Markt Randersacker	BÜNDNIS 90/DIE GRÜNEN	FALSE	46.3	348	0.14814814814814814	421	0.17854113655640375
Markt Reichenberg	BÜNDNIS 90/DIE GRÜNEN	FALSE	45.1	457	0.1609721733004579	492	0.17245005257623555
Markt Remlingen	BÜNDNIS 90/DIE GRÜNEN	FALSE	46.2	143	0.14228855721393036	142	0.13962635201573254
Markt Rimpar	BÜNDNIS 90/DIE GRÜNEN	FALSE	44.9	682	0.1364545818327331	692	0.137274350327316
Markt Sommerhausen	BÜNDNIS 90/DIE GRÜNEN	FALSE	45	233	0.16896301667875271	242	0.17472924187725633
Markt Winterhausen	BÜNDNIS 90/DIE GRÜNEN	FALSE	47.3	146	0.15020576131687244	154	0.15714285714285714
Markt Zell a.Main	BÜNDNIS 90/DIE GRÜNEN	FALSE	44.5	520	0.19644880997355496	537	0.20172802404207363
Oberpleichfeld	BÜNDNIS 90/DIE GRÜNEN	FALSE	42.5	81	0.1077127659574468	61	0.08036890645586298
Prosselsheim	BÜNDNIS 90/DIE GRÜNEN	FALSE	43.1	78	0.09701492537313433	68	0.08426270136307311
Riedenheim	BÜNDNIS 90/DIE GRÜNEN	FALSE	46.6	27	0.04963235294117647	25	0.044964028776978415
Rottendorf	BÜNDNIS 90/DIE GRÜNEN	FALSE	44.4	509	0.14281705948372614	540	0.1506276150627615
Sonderhofen	BÜNDNIS 90/DIE GRÜNEN	FALSE	43.6	43	0.07095709570957096	43	0.0701468189233279
Stadt Aub	BÜNDNIS 90/DIE GRÜNEN	FALSE	46.3	97	0.10146443514644352	110	0.11470281543274244
Stadt Eibelstadt	BÜNDNIS 90/DIE GRÜNEN	FALSE	46.6	370	0.16980266177145478	387	0.17614929449248976
Stadt Ochsenfurt	BÜNDNIS 90/DIE GRÜNEN	FALSE	45.3	769	0.11404419397894112	838	0.1234531526222746
Stadt Röttingen	BÜNDNIS 90/DIE GRÜNEN	FALSE	47	102	0.09400921658986175	113	0.10329067641681901
Tauberrettersheim	BÜNDNIS 90/DIE GRÜNEN	FALSE	44.1	60	0.10398613518197573	52	0.08904109589041095
Theilheim	BÜNDNIS 90/DIE GRÜNEN	FALSE	43.5	208	0.1281577325939618	206	0.1263803680981595
Thüngersheim	BÜNDNIS 90/DIE GRÜNEN	FALSE	45.9	291	0.15348101265822786	303	0.15955766192733017
Uettingen	BÜNDNIS 90/DIE GRÜNEN	FALSE	43.5	166	0.13984835720303285	136	0.11323896752706078
Unterpleichfeld	BÜNDNIS 90/DIE GRÜNEN	FALSE	42.6	248	0.12544258978249873	273	0.13704819277108435
Veitshöchheim	BÜNDNIS 90/DIE GRÜNEN	FALSE	46.5	1066	0.17660702451954938	1089	0.1793478260869565
Waldbrunn	BÜNDNIS 90/DIE GRÜNEN	FALSE	43.4	266	0.13890339425587467	280	0.14530358069538143
Waldbüttelbrunn	BÜNDNIS 90/DIE GRÜNEN	FALSE	44.6	719	0.22157164869029275	539	0.16518541219736438
Altertheim	Bündnis C - Christen für Deutschland	FALSE	44	0	0	1	7.380073800738007e-4
Bergtheim	Bündnis C - Christen für Deutschland	FALSE	42.4	0	0	4	0.0015822784810126582
Bieberehren	Bündnis C - Christen für Deutschland	FALSE	45.1	0	0	2	0.0032948929159802307
Eisingen	Bündnis C - Christen für Deutschland	FALSE	44.3	0	0	4	0.0018674136321195146
Erlabrunn	Bündnis C - Christen für Deutschland	FALSE	43.5	0	0	1	7.94912559618442e-4
Estenfeld	Bündnis C - Christen für Deutschland	FALSE	44.5	0	0	0	0
Gaukönigshofen	Bündnis C - Christen für Deutschland	FALSE	44.2	0	0	2	0.0011474469305794606
Gerbrunn	Bündnis C - Christen für Deutschland	FALSE	42.8	0	0	5	0.0012141816415735794
Geroldshausen	Bündnis C - Christen für Deutschland	FALSE	43.1	0	0	0	0
Greußenheim	Bündnis C - Christen für Deutschland	FALSE	45	0	0	2	0.0017406440382941688
Güntersleben	Bündnis C - Christen für Deutschland	FALSE	43.1	0	0	2	6.711409395973154e-4
Hausen b.Würzburg	Bündnis C - Christen für Deutschland	FALSE	43.1	0	0	0	0
Hettstadt	Bündnis C - Christen für Deutschland	FALSE	45	0	0	0	0
Holzkirchen	Bündnis C - Christen für Deutschland	FALSE	47.1	0	0	0	0
Kirchheim	Bündnis C - Christen für Deutschland	FALSE	45.3	0	0	0	0
Kist	Bündnis C - Christen für Deutschland	FALSE	45.7	0	0	0	0
Kleinrinderfeld	Bündnis C - Christen für Deutschland	FALSE	44.9	0	0	0	0
Kürnach	Bündnis C - Christen für Deutschland	FALSE	42.8	0	0	0	0
Leinach	Bündnis C - Christen für Deutschland	FALSE	44.4	0	0	0	0
Margetshöchheim	Bündnis C - Christen für Deutschland	FALSE	48	0	0	2	8.869179600886918e-4
Markt Bütthard	Bündnis C - Christen für Deutschland	FALSE	45.7	0	0	2	0.0022396416573348264
Markt Eisenheim	Bündnis C - Christen für Deutschland	FALSE	44.3	0	0	0	0
Markt Frickenhausen a.Main	Bündnis C - Christen für Deutschland	FALSE	46.5	0	0	0	0
Markt Gelchsheim	Bündnis C - Christen für Deutschland	FALSE	44.5	0	0	0	0
Markt Giebelstadt	Bündnis C - Christen für Deutschland	FALSE	43.1	0	0	8	0.0025133521834747093
Markt Helmstadt	Bündnis C - Christen für Deutschland	FALSE	44	0	0	1	5.367686527106817e-4
Markt Höchberg	Bündnis C - Christen für Deutschland	FALSE	46	0	0	5	7.87897888433659e-4
Markt Neubrunn	Bündnis C - Christen für Deutschland	FALSE	44.9	0	0	0	0
Markt Randersacker	Bündnis C - Christen für Deutschland	FALSE	46.3	0	0	1	4.2408821034775233e-4
Markt Reichenberg	Bündnis C - Christen für Deutschland	FALSE	45.1	0	0	10	0.0035050823694356818
Markt Remlingen	Bündnis C - Christen für Deutschland	FALSE	46.2	0	0	0	0
Markt Rimpar	Bündnis C - Christen für Deutschland	FALSE	44.9	0	0	5	9.918666931164452e-4
Markt Sommerhausen	Bündnis C - Christen für Deutschland	FALSE	45	0	0	0	0
Markt Winterhausen	Bündnis C - Christen für Deutschland	FALSE	47.3	0	0	0	0
Markt Zell a.Main	Bündnis C - Christen für Deutschland	FALSE	44.5	0	0	0	0
Oberpleichfeld	Bündnis C - Christen für Deutschland	FALSE	42.5	0	0	0	0
Prosselsheim	Bündnis C - Christen für Deutschland	FALSE	43.1	0	0	0	0
Riedenheim	Bündnis C - Christen für Deutschland	FALSE	46.6	0	0	0	0
Rottendorf	Bündnis C - Christen für Deutschland	FALSE	44.4	0	0	1	2.789400278940028e-4
Sonderhofen	Bündnis C - Christen für Deutschland	FALSE	43.6	0	0	0	0
Stadt Aub	Bündnis C - Christen für Deutschland	FALSE	46.3	0	0	0	0
Stadt Eibelstadt	Bündnis C - Christen für Deutschland	FALSE	46.6	0	0	0	0
Stadt Ochsenfurt	Bündnis C - Christen für Deutschland	FALSE	45.3	0	0	8	0.0011785503830288745
Stadt Röttingen	Bündnis C - Christen für Deutschland	FALSE	47	0	0	0	0
Tauberrettersheim	Bündnis C - Christen für Deutschland	FALSE	44.1	0	0	1	0.0017123287671232876
Theilheim	Bündnis C - Christen für Deutschland	FALSE	43.5	0	0	1	6.134969325153375e-4
Thüngersheim	Bündnis C - Christen für Deutschland	FALSE	45.9	0	0	0	0
Uettingen	Bündnis C - Christen für Deutschland	FALSE	43.5	0	0	0	0
Unterpleichfeld	Bündnis C - Christen für Deutschland	FALSE	42.6	0	0	1	5.02008032128514e-4
Veitshöchheim	Bündnis C - Christen für Deutschland	FALSE	46.5	0	0	3	4.940711462450593e-4
Waldbrunn	Bündnis C - Christen für Deutschland	FALSE	43.4	0	0	0	0
Waldbüttelbrunn	Bündnis C - Christen für Deutschland	FALSE	44.6	0	0	0	0
Altertheim	Christlich-Soziale Union in Bayern e.V.	FALSE	44	581	0.4365138993238167	443	0.32693726937269374
Bergtheim	Christlich-Soziale Union in Bayern e.V.	FALSE	42.4	1118	0.44630738522954094	936	0.370253164556962
Bieberehren	Christlich-Soziale Union in Bayern e.V.	FALSE	45.1	324	0.5382059800664452	259	0.42668863261943984
Eisingen	Christlich-Soziale Union in Bayern e.V.	FALSE	44.3	801	0.377296278850683	670	0.3127917833800187
Erlabrunn	Christlich-Soziale Union in Bayern e.V.	FALSE	43.5	548	0.4370015948963317	464	0.3688394276629571
Estenfeld	Christlich-Soziale Union in Bayern e.V.	FALSE	44.5	1570	0.43072702331961593	1348	0.36901177114700245
Gaukönigshofen	Christlich-Soziale Union in Bayern e.V.	FALSE	44.2	1051	0.6139018691588785	819	0.46987951807228917
Gerbrunn	Christlich-Soziale Union in Bayern e.V.	FALSE	42.8	1314	0.320565991705294	1100	0.26711996114618747
Geroldshausen	Christlich-Soziale Union in Bayern e.V.	FALSE	43.1	342	0.3895216400911162	269	0.3025871766029246
Greußenheim	Christlich-Soziale Union in Bayern e.V.	FALSE	45	533	0.46469049694856146	427	0.37162750217580504
Güntersleben	Christlich-Soziale Union in Bayern e.V.	FALSE	43.1	1171	0.39668021680216803	917	0.30771812080536914
Hausen b.Würzburg	Christlich-Soziale Union in Bayern e.V.	FALSE	43.1	834	0.4923258559622196	697	0.409037558685446
Hettstadt	Christlich-Soziale Union in Bayern e.V.	FALSE	45	1068	0.42788461538461536	857	0.34238913304035157
Holzkirchen	Christlich-Soziale Union in Bayern e.V.	FALSE	47.1	340	0.4927536231884058	287	0.41594202898550725
Kirchheim	Christlich-Soziale Union in Bayern e.V.	FALSE	45.3	684	0.45936870382807254	552	0.3687374749498998
Kist	Christlich-Soziale Union in Bayern e.V.	FALSE	45.7	698	0.41375222288085356	550	0.32295948326482676
