(c) Der Bundeswahlleiter, Wiesbaden 2021																	
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0)																	
																	
Ergebnisse nach Wahlkreisen																	
Status:	Endgültig																
Stand:	14.10.2021	15:11															
																	
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM																	
																	
Wahlart	Wahltag	Gebietsart	Gebietsnummer	Gebietsname	UegGebietsart	UegGebietsnummer	Gruppenart	Gruppenname	Gruppenreihenfolge	Stimme	Anzahl	Prozent	VorpAnzahl	VorpProzent	DiffProzent	DiffProzentPkt	Bemerkung
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	AfD	3	1	4695611	10,128143	5317499	11,462693	-11,695122	-1,33455	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	AfD	3	2	4803902	10,343869	5878115	12,636897	-18,274787	-2,293028	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	FDP	4	1	4042951	8,720396	3249238	7,004236	24,427666	1,71616	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	FDP	4	2	5319952	11,455039	4999449	10,747922	6,410766	0,707117	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	DIE LINKE	5	1	2307536	4,977213	3966637	8,5507	-41,826388	-3,573488	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	DIE LINKE	5	2	2270906	4,889765	4297270	9,238363	-47,154682	-4,348598	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	GRÜNE	6	1	6469081	13,953408	3717922	8,014557	73,997222	5,938852	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	GRÜNE	6	2	6852206	14,754323	4158400	8,939817	64,779867	5,814506	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	CSU	7	1	2788048	6,013647	3255487	7,017706	-14,358497	-1,004059	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	CSU	7	2	2402827	5,173821	2869688	6,169317	-16,268702	-0,995496	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	FREIE WÄHLER	8	1	1334739	2,87895	589056	1,269801	126,589492	1,609148	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	FREIE WÄHLER	8	2	1127784	2,42837	463292	0,995995	143,428335	1,432375	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Die PARTEI	9	1	543145	1,17153	245659	0,529556	121,097131	0,641974	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Die PARTEI	9	2	461570	0,993863	454349	0,976769	1,589307	0,017094	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Tierschutzpartei	10	1	163201	0,352014	22917	0,049401	612,13946	0,302613	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Tierschutzpartei	10	2	675353	1,454185	374179	0,804418	80,489285	0,649767	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	NPD	11	1	1090	0,002351	45169	0,097369	-97,586841	-0,095018	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	NPD	11	2	64574	0,139042	176020	0,378412	-63,314396	-0,239369	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	PIRATEN	12	1	60839	0,131226	93196	0,200898	-34,719301	-0,069672	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	PIRATEN	12	2	169923	0,365882	173476	0,372942	-2,048122	-0,00706	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	ÖDP	13	1	152792	0,329563	166228	0,35833	-8,082874	-0,028767	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	ÖDP	13	2	112314	0,241837	144809	0,311313	-22,439904	-0,069476	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	V-Partei³	14	1	10644	0,022958	1201	0,002589	786,261449	0,02037	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	V-Partei³	14	2	31884	0,068653	64073	0,137746	-50,23801	-0,069092	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	DiB	15	1	2609	0,005627					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	DiB	15	2	7184	0,015469	60914	0,130954	-88,206324	-0,115485	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	BP	16	1	36748	0,079263	62622	0,134991	-41,317748	-0,055728	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	BP	16	2	32790	0,070604	58037	0,124769	-43,501559	-0,054165	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Tierschutzallianz	17	1	7371	0,015899	6114	0,01318	20,559372	0,002719	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Tierschutzallianz	17	2	13672	0,029439	32221	0,069269	-57,568046	-0,039831	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	MLPD	18	1	22534	0,048604	35760	0,077086	-36,985459	-0,028482	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	MLPD	18	2	17799	0,038325	29785	0,064032	-40,241732	-0,025707	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Gesundheitsforschung	19	1	2842	0,00613	1537	0,003313	84,90566	0,002817	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Gesundheitsforschung	19	2	49349	0,106259	23404	0,050314	110,857118	0,055945	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	MENSCHLICHE WELT	20	1	656	0,001415	2205	0,004753	-70,249433	-0,003338	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	MENSCHLICHE WELT	20	2	3786	0,008152	11661	0,025069	-67,532802	-0,016917	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	DKP	21	1	5446	0,011747	7517	0,016204	-27,550885	-0,004457	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	DKP	21	2	14925	0,032137	11558	0,024848	29,131338	0,007289	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Die Grauen	22	1	2368	0,005108	4300	0,009269	-44,930233	-0,004162	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Die Grauen	22	2	19443	0,041865	10009	0,021518	94,25517	0,020348	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	BüSo	23	1	811	0,001749	15960	0,034404	-94,918546	-0,032655	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	BüSo	23	2	727	0,001565	6693	0,014389	-89,137905	-0,012823	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Die Humanisten	24	1	12730	0,027458					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Die Humanisten	24	2	47711	0,102732	5991	0,01288	696,3779	0,089853	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Gartenpartei	25	1	2095	0,004519	2570	0,00554	-18,48249	-0,001021	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Gartenpartei	25	2	7611	0,016388	5617	0,012076	35,499377	0,004313	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	du.	26	1	1912	0,004124	772	0,001664	147,668394	0,00246	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	du.	26	2	17811	0,038351	3032	0,006518	487,434037	0,031833	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	SGP	27	1			903	0,001947		-0,001947	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	SGP	27	2	1417	0,003051	1291	0,002775	9,759876	0,000276	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	dieBasis	28	1	735451	1,586322					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	dieBasis	28	2	630153	1,356859					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Bündnis C	29	1	6222	0,01342	1717	0,003701	262,376238	0,009719	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Bündnis C	29	2	39868	0,085845					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	BÜRGERBEWEGUNG	30	1	1556	0,003356					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	BÜRGERBEWEGUNG	30	2	7491	0,01613					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	III. Weg	31	1	515	0,001111					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	III. Weg	31	2	7832	0,016864					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	BÜNDNIS21	32	1	377	0,000813					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	BÜNDNIS21	32	2	3488	0,00751					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	LIEBE	33	1	873	0,001883					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	LIEBE	33	2	12967	0,027921					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	LKR	34	1	10767	0,023224					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	LKR	34	2	11159	0,024028					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	PdF	35	1							
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	PdF	35	2	3228	0,006951					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	LfK	36	1							
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	LfK	36	2	9189	0,019786					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	SSW	37	1	35027	0,075551					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	SSW	37	2	55578	0,119672					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Team Todenhöfer	38	1	5700	0,012295					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Team Todenhöfer	38	2	214535	0,461942					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	UNABHÄNGIGE	39	1	13421	0,028948	2458	0,005299	446,013019	0,02365	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	UNABHÄNGIGE	39	2	22736	0,048956					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Volt	40	1	78339	0,168972					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Volt	40	2	165474	0,356302					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Volksabstimmung	41	1	1086	0,002342	6316	0,013615	-82,805573	-0,011273	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Volksabstimmung	41	2			9631	0,020705		-0,020705	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	B*	42	1	222	0,000479	672	0,001449	-66,964286	-0,00097	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	B*	42	2			911	0,001958		-0,001958	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	sonstige	43	1	256	0,000552					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	sonstige	43	2							
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	FAMILIE	44	1	1817	0,003919	506	0,001091	259,090909	0,002828	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	FAMILIE	44	2							
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Graue Panther	45	1	961	0,002073					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Graue Panther	45	2							
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	KlimalisteBW	46	1	3967	0,008557					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	KlimalisteBW	46	2							
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	THP	47	1	549	0,001184					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	THP	47	2							
BT	26.09.2021	Bund	99	Bundesgebiet			Einzelbewerber/Wählergruppe	Einzelbewerber/Wählergruppe	48	1	110894	0,239192					
BT	26.09.2021	Bund	99	Bundesgebiet			System-Gruppe	Übrige	1000	1			107495	0,231722		-0,231722	
BT	26.09.2021	Bund	99	Bundesgebiet			System-Gruppe	Übrige	1000	2			204580	0,43981		-0,43981	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	System-Gruppe	Wahlberechtigte	-4		2272717		2266012		0,295894		
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	System-Gruppe	Wählende	-3		1776145	78,150733	1729194	76,310011	2,715196	1,840723	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	System-Gruppe	Ungültige	-2	1	16132	0,908259	16172	0,935233	-0,247341	-0,026974	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	System-Gruppe	Ungültige	-2	2	13391	0,753936	13553	0,783776	-1,195307	-0,029839	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	System-Gruppe	Gültige	-1	1	1760013	99,091741	1713022	99,064767	2,743164	0,026974	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	System-Gruppe	Gültige	-1	2	1762754	99,246064	1715641	99,216224	2,746087	0,029839	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	CDU	1	1	465975	26,475657	682287	39,829436	-31,70396	-13,353779	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	CDU	1	2	388399	22,033647	583135	33,989337	-33,394668	-11,95569	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	SPD	2	1	530301	30,130516	493279	28,795836	7,505286	1,33468	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	SPD	2	2	494055	28,02745	399505	23,286049	23,666788	4,741401	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	FDP	3	1	167191	9,499418	131703	7,688343	26,945476	1,811076	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	FDP	3	2	220039	12,482683	216844	12,639241	1,473409	-0,156558	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	GRÜNE	4	1	315633	17,933561	163580	9,549206	92,953295	8,384355	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	GRÜNE	4	2	322763	18,310156	205471	11,97634	57,084455	6,333816	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	AfD	5	1	113641	6,456827	128641	7,509594	-11,660357	-1,052767	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	AfD	5	2	119566	6,782909	140362	8,181315	-14,815976	-1,398406	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	DIE LINKE	6	1	55523	3,154693	90574	5,287381	-38,698744	-2,132688	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	DIE LINKE	6	2	64238	3,644184	124678	7,267138	-48,476876	-3,622954	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Die PARTEI	7	1	18090	1,027833	4017	0,234498	350,336072	0,793335	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Die PARTEI	7	2	17870	1,013755	20732	1,208411	-13,804746	-0,194657	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	FREIE WÄHLER	8	1	26518	1,506693	15957	0,931512	66,18412	0,575182	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	FREIE WÄHLER	8	2	17043	0,966839	11095	0,646697	53,609734	0,320142	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	NPD	9	1							
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	NPD	9	2	2034	0,115388	4210	0,245389	-51,686461	-0,130002	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	ÖDP	10	1							
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	ÖDP	10	2	1539	0,087307	3116	0,181623	-50,609756	-0,094317	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	MLPD	11	1	265	0,015057	1381	0,080618	-80,811007	-0,065561	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	MLPD	11	2	322	0,018267	823	0,04797	-60,874848	-0,029704	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	dieBasis	12	1	27124	1,541125					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	dieBasis	12	2	23407	1,327865					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	DKP	13	1	326	0,018523					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	DKP	13	2	516	0,029272					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	du.	14	1	727	0,041307					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	du.	14	2	1029	0,058375					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	LKR	15	1	1051	0,059715					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	LKR	15	2	715	0,040562					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Die Humanisten	16	1							
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Die Humanisten	16	2	1763	0,100014					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Tierschutzpartei	17	1							
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Tierschutzpartei	17	2	20653	1,171633					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	SSW	18	1	35027	1,990156					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	SSW	18	2	55578	3,152907					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Team Todenhöfer	19	1							
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Team Todenhöfer	19	2	5305	0,30095					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Volt	20	1	1431	0,081306					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Volt	20	2	4157	0,235824					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	V-Partei³	21	1	581	0,033011					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	V-Partei³	21	2	1763	0,100014					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Einzelbewerber/Wählergruppe	Einzelbewerber/Wählergruppe	22	1	609	0,034602					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	FAMILIE	23	1			506	0,029538		-0,029538	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	FAMILIE	23	2							
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	System-Gruppe	Übrige	1000	1			1097	0,064039		-0,064039	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	System-Gruppe	Übrige	1000	2			5670	0,330489		-0,330489	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	System-Gruppe	Wahlberechtigte	-4		1314435		1324614		-0,76845		
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	System-Gruppe	Wählende	-3		935040	71,136268	938587	70,857397	-0,377908	0,278871	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	System-Gruppe	Ungültige	-2	1	16954	1,813184	11742	1,251029	44,387668	0,562155	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	System-Gruppe	Ungültige	-2	2	16181	1,730514	11077	1,180178	46,077458	0,550336	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	System-Gruppe	Gültige	-1	1	918086	98,186816	926845	98,748971	-0,945034	-0,562155	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	System-Gruppe	Gültige	-1	2	918859	98,269486	927510	98,819822	-0,932712	-0,550336	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	CDU	1	1	180669	19,678875	316662	34,165583	-42,945791	-14,486708	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	CDU	1	2	160103	17,42411	307263	33,127729	-47,893824	-15,703619	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	AfD	2	1	169977	18,514279	168456	18,175207	0,902906	0,339071	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	AfD	2	2	165342	17,994273	172409	18,588371	-4,098974	-0,594098	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	DIE LINKE	3	1	116033	12,638576	171130	18,463713	-32,195991	-5,825137	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	DIE LINKE	3	2	101735	11,071884	165368	17,829242	-38,479633	-6,757358	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	SPD	4	1	261408	28,47315	161437	17,417907	61,925705	11,055243	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	SPD	4	2	267368	29,097827	139689	15,060646	91,402329	14,037181	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	FDP	5	1	66328	7,224596	43899	4,736391	51,09228	2,488205	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	FDP	5	2	75555	8,222698	57895	6,241981	30,503498	1,980717	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	GRÜNE	6	1	62664	6,825504	33746	3,640954	85,693119	3,18455	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	GRÜNE	6	2	71956	7,831017	39514	4,260224	82,102546	3,570793	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Tierschutzpartei	7	1	14324	1,560202	2161	0,233157	562,841277	1,327046	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Tierschutzpartei	7	2	20582	2,239952	12507	1,348449	64,563844	0,891503	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	NPD	8	1			7977	0,860662		-0,860662	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	NPD	8	2	6400	0,696516	10408	1,122144	-38,508839	-0,425628	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Die PARTEI	9	1	3692	0,402141	4631	0,499652	-20,276398	-0,097511	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Die PARTEI	9	2	7900	0,859762	9309	1,003655	-15,13589	-0,143893	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	FREIE WÄHLER	10	1	17781	1,936747	13794	1,488275	28,903871	0,448472	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	FREIE WÄHLER	10	2	13344	1,452236	7543	0,813253	76,90574	0,638983	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	MLPD	11	1	1270	0,138331	1666	0,17975	-23,769508	-0,041418	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	MLPD	11	2	709	0,077161	1366	0,147276	-48,096633	-0,070115	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	ÖDP	12	1			591	0,063765		-0,063765	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	ÖDP	12	2	1189	0,1294	1205	0,129918	-1,327801	-0,000518	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	dieBasis	13	1	16019	1,744826					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	dieBasis	13	2	16336	1,777857					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	DKP	14	1							
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	DKP	14	2	754	0,082058					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Die Humanisten	15	1							
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Die Humanisten	15	2	1277	0,138977					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	PIRATEN	16	1	3812	0,415212					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	PIRATEN	16	2	4259	0,46351					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Team Todenhöfer	17	1							
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Team Todenhöfer	17	2	2146	0,233551					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Volt	18	1							
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Volt	18	2	1904	0,207214					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	UNABHÄNGIGE	19	1	1019	0,110992					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	UNABHÄNGIGE	19	2							
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Einzelbewerber/Wählergruppe	Einzelbewerber/Wählergruppe	20	1	3090	0,33657					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	System-Gruppe	Übrige	1000	1			695	0,074986		-0,074986	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	System-Gruppe	Übrige	1000	2			3034	0,327112		-0,327112	
BT	26.09.2021	Land	2	Hamburg	BUND	99	System-Gruppe	Wahlberechtigte	-4		1298792		1296656		0,164731		
BT	26.09.2021	Land	2	Hamburg	BUND	99	System-Gruppe	Wählende	-3		1011044	77,844951	984926	75,958928	2,651773	1,886023	
BT	26.09.2021	Land	2	Hamburg	BUND	99	System-Gruppe	Ungültige	-2	1	7720	0,763567	9254	0,939563	-16,576616	-0,175996	
BT	26.09.2021	Land	2	Hamburg	BUND	99	System-Gruppe	Ungültige	-2	2	5500	0,543992	6808	0,691219	-19,212691	-0,147227	
BT	26.09.2021	Land	2	Hamburg	BUND	99	System-Gruppe	Gültige	-1	1	1003324	99,236433	975672	99,060437	2,834149	0,175996	
